date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:10:41	51271/51271	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:26%20GMT	https://www.rxmediciner.com/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/index.html	(from )
07:10:42	157/157	---M--	200	added ('OK')	text/plain	date:Mon,%2017%20Jan%202022%2009:08:54%20GMT	https://www.rxmediciner.com/robots.txt		(from )
07:10:44	563/563	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:48:06%20GMT	https://www.rxmediciner.com/images/favicon.png	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/favicon.png	(from https://www.rxmediciner.com/)
07:10:45	95930/95930	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2002:38:00%20GMT	https://www.rxmediciner.com/js/jquery-1.11.2.min.js?v=490008177	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/js/jquery-1.11.2.mine136.js	(from https://www.rxmediciner.com/)
07:10:47	8611/8611	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20May%202019%2004:38:26%20GMT	https://www.rxmediciner.com/js/typeahead.js	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/js/typeahead.js	(from https://www.rxmediciner.com/)
07:10:47	23688/23688	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2000:30:02%20GMT	https://www.rxmediciner.com/css/font-awesome.min.css?v=33066645	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/font-awesome.min4e19.css	(from https://www.rxmediciner.com/)
07:10:48	6152/6152	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20May%202019%2004:57:40%20GMT	https://www.rxmediciner.com/css/owl.carousel.css?v=1055566001	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/owl.carousel7a68.css	(from https://www.rxmediciner.com/)
07:10:48	117302/117302	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202019%2005:18:56%20GMT	https://www.rxmediciner.com/css/bootstrap.min.css?v=1337353687	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/bootstrap.minfed7.css	(from https://www.rxmediciner.com/)
07:10:49	2353/2353	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202016%2009:24:52%20GMT	https://www.rxmediciner.com/css/slicknav.min.css?v=96450447	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/slicknav.minf79f.css	(from https://www.rxmediciner.com/)
07:10:50	71642/71642	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Feb%202021%2007:47:45%20GMT	https://www.rxmediciner.com/css/style.css?v=1718052904	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/styledd8d.css	(from https://www.rxmediciner.com/)
07:10:50	10108/10108	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2000:32:58%20GMT	https://www.rxmediciner.com/css/responsive.css?v=1199614471	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/responsive8768.css	(from https://www.rxmediciner.com/)
07:10:51	6982/6982	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202020%2008:11:04%20GMT	https://www.rxmediciner.com/css/toastr.css	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/css/toastr.css	(from https://www.rxmediciner.com/)
07:10:52	22461/22461	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2014:10:40%20GMT	https://www.rxmediciner.com/world-contries.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/world-contries.jpg	(from https://www.rxmediciner.com/)
07:10:53	9137/9137	---M--	200	added ('OK')	image/png	date:Mon,%2018%20May%202020%2012:54:12%20GMT	https://www.rxmediciner.com/images/logo.png	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/logo.png	(from https://www.rxmediciner.com/)
07:10:54	291/291	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:48:26%20GMT	https://www.rxmediciner.com/images/date_icon.png	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/date_icon.png	(from https://www.rxmediciner.com/)
07:10:55	25314/25314	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:43%20GMT	https://www.rxmediciner.com/contact.php	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/contact.html	(from https://www.rxmediciner.com/)
07:10:56	26896/26896	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:44%20GMT	https://www.rxmediciner.com/about.php	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/about.html	(from https://www.rxmediciner.com/)
07:10:57	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:44%20GMT	https://www.rxmediciner.com/category/antibiotika	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/antibiotika	(from https://www.rxmediciner.com/)
07:10:58	49016/49016	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:46%20GMT	https://www.rxmediciner.com/category/antibiotika/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/antibiotika/index.html	(from https://www.rxmediciner.com/)
07:10:58	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:46%20GMT	https://www.rxmediciner.com/category/blodtryck-och-diabetiker	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/blodtryck-och-diabetiker	(from https://www.rxmediciner.com/)
07:10:59	32233/32233	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:47%20GMT	https://www.rxmediciner.com/category/blodtryck-och-diabetiker/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/blodtryck-och-diabetiker/index.html	(from https://www.rxmediciner.com/)
07:10:59	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:47%20GMT	https://www.rxmediciner.com/category/smn-och-smnlshet	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/smn-och-smnlshet	(from https://www.rxmediciner.com/)
07:11:00	30949/30949	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:49%20GMT	https://www.rxmediciner.com/category/smn-och-smnlshet/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/smn-och-smnlshet/index.html	(from https://www.rxmediciner.com/)
07:11:01	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:49%20GMT	https://www.rxmediciner.com/category/anabola-steroider	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/anabola-steroider	(from https://www.rxmediciner.com/)
07:11:02	41993/41993	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:50%20GMT	https://www.rxmediciner.com/category/anabola-steroider/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/anabola-steroider/index.html	(from https://www.rxmediciner.com/)
07:11:03	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:50%20GMT	https://www.rxmediciner.com/category/stimulantia	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/stimulantia	(from https://www.rxmediciner.com/)
07:11:04	34944/34944	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:52%20GMT	https://www.rxmediciner.com/category/stimulantia/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/stimulantia/index.html	(from https://www.rxmediciner.com/)
07:11:04	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:52%20GMT	https://www.rxmediciner.com/category/opioider	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/opioider	(from https://www.rxmediciner.com/)
07:11:05	53530/53530	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:54%20GMT	https://www.rxmediciner.com/category/opioider/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/opioider/index.html	(from https://www.rxmediciner.com/)
07:11:06	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:10:54%20GMT	https://www.rxmediciner.com/category/depression-och-ngest	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/depression-och-ngest	(from https://www.rxmediciner.com/)
07:11:07	84936/84936	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:55%20GMT	https://www.rxmediciner.com/products.php	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/products.html	(from https://www.rxmediciner.com/)
07:11:08	36141/36141	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:55%20GMT	https://www.rxmediciner.com/category/depression-och-ngest/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/category/depression-och-ngest/index.html	(from https://www.rxmediciner.com/)
07:11:09	26318/26318	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:10:57%20GMT	https://www.rxmediciner.com/blog.php	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/blog.html	(from https://www.rxmediciner.com/)
07:11:11	68134/68134	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:38%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa519c062cb1.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/sliders/5cdaa519c062cb1.jpg	(from https://www.rxmediciner.com/)
07:11:11	54502/54502	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:44%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa520cd7b2b2.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/sliders/5cdaa520cd7b2b2.jpg	(from https://www.rxmediciner.com/)
07:11:13	73227/73227	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:46%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa52db1ad3b4.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/sliders/5cdaa52db1ad3b4.jpg	(from https://www.rxmediciner.com/)
07:11:13	8205/8205	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:48:34%20GMT	https://www.rxmediciner.com/images/enquiry-icon.png	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/enquiry-icon.png	(from https://www.rxmediciner.com/)
07:11:14	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:11:02%20GMT	https://www.rxmediciner.com/product/ketamine	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/ketamine	(from https://www.rxmediciner.com/)
07:11:16	133786/133786	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:11:04%20GMT	https://www.rxmediciner.com/product/ketamine/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/ketamine/index.html	(from https://www.rxmediciner.com/)
07:11:16	73089/73089	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Mar%202021%2012:06:35%20GMT	https://www.rxmediciner.com/images/product/604764cb840f3WhatsApp%20Image%202021-03-08%20at%201.24.35%20PM.jpeg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/product/604764cb840f3WhatsApp%20Image%202021-03-08%20at%201.24.35%20PM.jpg	(from https://www.rxmediciner.com/)
07:11:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:11:05%20GMT	https://www.rxmediciner.com/product/oxycontin-40-mg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/oxycontin-40-mg.1f.delayed	(from https://www.rxmediciner.com/)
07:11:19	53995/53995	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Nov%202020%2007:37:18%20GMT	https://www.rxmediciner.com/images/product/5fb4cf2e3993doxycontin%2040%20mg.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/product/5fb4cf2e3993doxycontin%2040%20mg.jpg	(from https://www.rxmediciner.com/)
07:11:20	153136/153136	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:11:07%20GMT	https://www.rxmediciner.com/product/oxycontin-40-mg/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/oxycontin-40-mg/index.html	(from https://www.rxmediciner.com/)
07:11:20	136163/136163	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202019%2008:38:52%20GMT	https://www.rxmediciner.com/images/sliders/5cdaa53442e7fb5.jpg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/images/sliders/5cdaa53442e7fb5.jpg	(from https://www.rxmediciner.com/)
07:11:20	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Apr%202023%2014:11:07%20GMT	https://www.rxmediciner.com/product/oxynorm-20mg	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/oxynorm-20mg	(from https://www.rxmediciner.com/)
07:11:22	153151/153151	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Apr%202023%2014:11:10%20GMT	https://www.rxmediciner.com/product/oxynorm-20mg/	C:/Users/belmond/Desktop/newmedcineweb/www.rxmediciner.com/product/oxynorm-20mg/index.html	(from https://www.rxmediciner.com/)
